lon,lat,info
113.771919,22.684711,i20893-o1-h-3
113.802139,22.684711,i20894-o3-h-1
113.817245,22.684711,i20895-o2-h-1
113.840843,22.684711,i20896-o1-h17
113.841789,22.684711,i20897-o1-h17
113.873894,22.684711,i20898-o1-h72
113.772865,22.685656,i20946-o1-h-2
113.802139,22.685656,i20947-o1-h-1
113.803078,22.685656,i20948-o3-h-1
113.815353,22.685656,i20949-o2-h-1
113.872948,22.685656,i20950-o1-h72
113.801193,22.686600,i21000-o1-h-1
113.804024,22.686600,i21001-o3-h-1
113.804970,22.686600,i21002-o2-h-1
113.805916,22.686600,i21003-o2-h-1
113.806854,22.686600,i21004-o2-h-1
113.807800,22.686600,i21005-o2-h-1
113.808746,22.686600,i21006-o2-h-1
113.809692,22.686600,i21007-o2-h-1
113.810631,22.686600,i21008-o2-h-1
113.811577,22.686600,i21009-o2-h-1
113.812523,22.686600,i21010-o2-h-1
113.813469,22.686600,i21011-o2-h-1
113.814407,22.686600,i21012-o2-h-1
113.870117,22.686600,i21013-o1-h72
113.871056,22.686600,i21014-o1-h72
113.872002,22.686600,i21015-o1-h72
113.801193,22.687544,i21086-o1-h-1
113.804970,22.687544,i21087-o2-h-1
113.805916,22.687544,i21088-o2-h-1
113.806854,22.687544,i21089-o2-h-1
113.807800,22.687544,i21090-o2-h-1
113.808746,22.687544,i21091-o2-h-1
113.809692,22.687544,i21092-o2-h-1
113.810631,22.687544,i21093-o2-h-1
113.811577,22.687544,i21094-o2-h-1
113.869171,22.687544,i21095-o1-h72
113.800247,22.688488,i21156-o1-h-1
113.805916,22.688488,i21157-o1-h-1
113.812523,22.688488,i21158-o2-h-1
113.813469,22.688488,i21159-o2-h-1
113.814407,22.688488,i21160-o2-h-1
113.815353,22.688488,i21161-o2-h-1
113.817245,22.688488,i21162-o2-h-1
113.799301,22.689432,i21223-o1-h0
113.806854,22.689432,i21224-o1-h-1
113.818184,22.689432,i21225-o2-h-1
113.798363,22.690376,i21283-o1-h0
113.807800,22.690376,i21284-o1-h-1
113.819130,22.690376,i21285-o2-h-1
113.798363,22.691320,i21321-o1-h0
113.807800,22.691320,i21322-o1-h-1
113.820076,22.691320,i21323-o2-h-1
113.808746,22.692265,i21374-o1-h-1
113.821022,22.692265,i21375-o2-h-1
113.851234,22.692265,i21376-o1-h23
113.852173,22.692265,i21377-o1-h23
113.853119,22.692265,i21378-o1-h23
113.809692,22.693209,i21425-o1-h-1
113.821960,22.693209,i21426-o2-h-1
113.832352,22.693209,i21427-o1-h13
113.850288,22.693209,i21428-o1-h23
113.854065,22.693209,i21429-o1-h23
113.822906,22.694153,i21473-o2-h-1
113.831406,22.694153,i21474-o1-h12
113.850288,22.694153,i21475-o1-h23
113.854065,22.694153,i21476-o1-h24
113.822906,22.695097,i21530-o2-h-1
113.830460,22.695097,i21531-o1-h10
113.849342,22.695097,i21532-o1-h23
113.855011,22.695097,i21533-o1-h26
113.822906,22.695097,i21598-o2-h-1
113.823853,22.695097,i21599-o2-h0
113.828575,22.695097,i21600-o1-h9
113.829514,22.695097,i21601-o1-h9
113.830460,22.695097,i21602-o1-h9
113.848396,22.695097,i21603-o1-h23
113.855011,22.695097,i21604-o1-h33
113.894661,22.695097,i21605-o1-h31
113.895607,22.695097,i21606-o1-h31
113.823853,22.696041,i21669-o2-h3
113.827629,22.696041,i21670-o1-h9
113.847458,22.696041,i21671-o1-h23
113.855011,22.696041,i21672-o1-h36
113.893715,22.696041,i21673-o1-h31
113.823853,22.696985,i21729-o2-h6
113.825737,22.696985,i21730-o2-h9
113.826683,22.696985,i21731-o2-h9
113.827629,22.696985,i21732-o1-h9
113.831406,22.696985,i21733-o1-h9
113.847458,22.696985,i21734-o1-h23
113.855011,22.696985,i21735-o1-h36
113.893715,22.696985,i21736-o1-h33
113.824799,22.697929,i21809-o2-h7
113.828575,22.697929,i21810-o1-h9
113.829514,22.697929,i21811-o1-h9
113.830460,22.697929,i21812-o1-h9
113.847458,22.697929,i21813-o1-h21
113.855011,22.697929,i21814-o1-h36
113.892776,22.697929,i21815-o1-h34
113.848396,22.698874,i21891-o1-h21
113.855011,22.698874,i21892-o1-h36
113.855949,22.698874,i21893-o1-h37
113.856895,22.698874,i21894-o1-h37
113.857841,22.698874,i21895-o1-h37
113.858788,22.698874,i21896-o1-h39
113.891830,22.698874,i21897-o1-h35
113.848396,22.699818,i21960-o1-h20
113.859726,22.699818,i21961-o1-h39
113.779480,22.700762,i22046-o1-h-3
113.789864,22.700762,i22047-o1-h-2
113.848396,22.700762,i22048-o1-h12
113.860672,22.700762,i22049-o1-h39
113.880501,22.700762,i22050-o1-h46
113.769089,22.701706,i22113-o2-h-3
113.776642,22.701706,i22114-o1-h-3
113.777588,22.701706,i22115-o1-h-3
113.778534,22.701706,i22116-o1-h-3
113.790810,22.701706,i22117-o1-h-2
113.847458,22.701706,i22118-o1-h12
113.861618,22.701706,i22119-o1-h39
113.880501,22.701706,i22120-o1-h46
113.768143,22.702650,i22190-o2-h-3
